,name,order,quantity,sku
255,"Franke NEPTUNE Clear Water хром/онiкс (115.0370.694), арт. 115.0370.694 (шт.)",4,4,115.0370.694
256,"Franke Pescara 360 ° чорний матовий (115.0545.136), арт. 115.0545.136 (шт.)",1,1,115.0545.136
258,"Teka FO 915 чорный 62915020NC, арт. 62915020NC (шт.)", ,1,62915020NC
259,"Teka FO 985 (629850210), арт. 629850210 (шт.)", ,1,629850210
267,"Miele Кавник 29992617EU1, арт. 29992617EU1 (шт.)", ,2,29992617EU1
281,"Miele Змінні леза (10 шт), арт. 26996045D (шт.)", ,1,26996045D
282,"Miele НАБІР ПОСУДУ FISKARS ""ALL STEEL"" KMTS 5704-2, арт. 26996102EU1 (шт.)", ,1,26996102EU1
283,"Miele Пластина для гриля Гурме GGRP, арт. 26996091EU1 (шт.)", ,1,26996091EU1
288,"Miele SBD 365-3  унiверсальна щiтка для пiдлоги, арт. 41996485EU1 (шт.)", ,2,41996485EU1
290,"Miele SPD 20 Насадка для м'яких меблів, арт. 41996650EU1 (шт.)", ,2,41996650EU1
291,"Miele SSP 10, арт. 41996443D (шт.)", ,1,41996443D
292,"Miele STB 305-3 турбощітка, арт. 41996606EU1 (шт.)", ,2,41996606EU1
300,"Miele Насадка для матраців SMD 10, арт. 41996487 (шт.)", ,3,41996487
306,"Miele Щітка універсальна SUB 20, арт. 41996515D (шт.)", ,3,41996515D
310,"Miele CSZL 7000, арт. CSZL 7000 (шт.)",2,1,CSZL 7000
312,"Miele EVS 7010 черный обсидиан, арт. EVS 7010 черный обсидиан (шт.)",2,1,EVS 7010 черный обсидиан
322,"Miele CS 7632 FL, арт. CS 7632 FL (шт.)",1,1,CS 7632 FL
324,"Miele DA 2578 CleanSteel, арт. DA 2578 CleanSteel (шт.)", ,1,DA 2578 CleanSteel
347,"Miele CM 7350 черная, арт. CM 7350 черная (шт.)", ,1,CM 7350 черная
350,"Miele SBAF3 белый лотос, арт. SBAF3 белый лотос (шт.)", ,2,SBAF3 белый лотос
353,"Miele SGDP3 черный, арт. 41GDP333UA (шт.)", ,1,41GDP333UA
